model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
XGBoost,xgboost,two-stage,low_plus_medium,1,3,2466,616,0.5,0.8944805194805194,0.9131886477462438,0.9767857142857143,0.9439171699741156,0.23529411764705882,0.07142857142857142,0.1095890410958904,0.10759050050545992
LogisticRegression,lr,single,low_plus_medium,1,4,2466,616,0.5,0.6038961038961039,0.9438202247191011,0.6,0.7336244541484717,0.13846153846153847,0.6428571428571429,0.22784810126582278,0.12220238922232952
LogisticRegression,lr,two-stage,low_plus_medium,1,4,2466,616,0.5,0.6314935064935064,0.9280205655526992,0.6446428571428572,0.7608008429926238,0.12334801762114538,0.5,0.1978798586572438,0.114441403962787
LightGBM,lightgbm,single,low_plus_medium,1,4,2466,616,0.5,0.8522727272727273,0.9064124783362218,0.9339285714285714,0.9199648197009674,0.05128205128205128,0.03571428571428571,0.042105263157894736,0.11220320409531423
LightGBM,lightgbm,two-stage,low_plus_medium,1,4,2466,616,0.5,0.8896103896103896,0.91,0.975,0.9413793103448276,0.125,0.03571428571428571,0.05555555555555555,0.09183762966130998
RandomForest,rf,single,low_plus_medium,1,4,2466,616,0.5,0.8798701298701299,0.910472972972973,0.9625,0.9357638888888888,0.125,0.05357142857142857,0.075,0.12694642836221487
XGBoost,xgboost,single,low_plus_medium,1,4,2466,616,0.5,0.875,0.9072512647554806,0.9607142857142857,0.9332176929748482,0.043478260869565216,0.017857142857142856,0.02531645569620253,0.12266607276521345
XGBoost,xgboost,two-stage,low_plus_medium,1,4,2466,616,0.5,0.8912337662337663,0.9087893864013267,0.9785714285714285,0.942390369733448,0.07692307692307693,0.017857142857142856,0.028985507246376812,0.09312641731036655
LogisticRegression,lr,single,low_plus_medium,1,5,2466,616,0.5,0.612012987012987,0.9212598425196851,0.6267857142857143,0.7460148777895855,0.11063829787234042,0.4642857142857143,0.17869415807560138,0.10299964567439521
LogisticRegression,lr,two-stage,low_plus_medium,1,5,2466,616,0.5,0.6655844155844156,0.9214285714285714,0.6910714285714286,0.789795918367347,0.11734693877551021,0.4107142857142857,0.18253968253968253,0.1053238007919236
