repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,model_key,mode,gate_type,selected_trial,feature_bundle,variant
1,1,48,0.8978930307941653,0.916247906197655,0.9767857142857143,0.9455488331892826,0.35,0.12280701754385964,0.18181818181818182,0.23197651459021262,lr,single,diagnostic,22,low_plus_medium,minus_temporal
1,2,48,0.9011345218800648,0.9179229480737019,0.9785714285714285,0.9472774416594641,0.4,0.14035087719298245,0.2077922077922078,0.20167688988820606,lr,single,diagnostic,22,low_plus_medium,minus_temporal
1,3,48,0.9042207792207793,0.9210084033613445,0.9785714285714285,0.9489177489177489,0.42857142857142855,0.16071428571428573,0.23376623376623376,0.24539204389426583,lr,single,diagnostic,22,low_plus_medium,minus_temporal
1,4,48,0.8798701298701299,0.9132653061224489,0.9589285714285715,0.9355400696864111,0.17857142857142858,0.08928571428571429,0.11904761904761904,0.16009969546667402,lr,single,diagnostic,22,low_plus_medium,minus_temporal
1,5,48,0.8977272727272727,0.9176470588235294,0.975,0.9454545454545454,0.3333333333333333,0.125,0.18181818181818182,0.17030439424830196,lr,single,diagnostic,22,low_plus_medium,minus_temporal
2,1,48,0.8881685575364667,0.9139966273187183,0.9678571428571429,0.9401561144839549,0.25,0.10526315789473684,0.14814814814814814,0.16004700095454805,lr,single,diagnostic,22,low_plus_medium,minus_temporal
2,2,48,0.9043760129659644,0.9168053244592346,0.9839285714285714,0.9491817398794143,0.4375,0.12280701754385964,0.1917808219178082,0.19817303617220838,lr,single,diagnostic,22,low_plus_medium,minus_temporal
2,3,48,0.9058441558441559,0.9141914191419142,0.9892857142857143,0.9502572898799314,0.4,0.07142857142857142,0.12121212121212122,0.2467201618328432,lr,single,diagnostic,22,low_plus_medium,minus_temporal
2,4,48,0.9042207792207793,0.9224283305227656,0.9767857142857143,0.9488291413703382,0.43478260869565216,0.17857142857142858,0.25316455696202533,0.22739893681807066,lr,single,diagnostic,22,low_plus_medium,minus_temporal
2,5,48,0.8863636363636364,0.9180887372013652,0.9607142857142857,0.9389179755671903,0.26666666666666666,0.14285714285714285,0.18604651162790697,0.18921707497109164,lr,single,diagnostic,22,low_plus_medium,minus_temporal
1,1,32,0.8897893030794165,0.9141414141414141,0.9696428571428571,0.9410745233968805,0.2608695652173913,0.10526315789473684,0.15,0.2177035964111202,lr,single,diagnostic,22,low_plus_medium,minus_completeness_contact
