model_key,mode,gate_type,selected_trial,feature_bundle,variant,n_features,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std,delta_closed_f1_vs_baseline,delta_pr_auc_closed_vs_baseline
lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance,30.0,0.8752433749394852,0.011482448101464178,0.9208913265605265,0.0039865156042024055,0.9437500000000002,0.011215934819601576,0.9321524279448548,0.0065288858741383545,0.26361906195603463,0.062430892069253695,0.1951127819548872,0.03915884708696419,0.22300412032530365,0.045139882877485306,0.1923117152763441,0.032079764504045385,0.0026343808620701292,0.0012625029126343557
lr,two-stage,diagnostic,37,v2_lr2,minus_temporal,28.0,0.8874137005619988,0.01041279704842218,0.9185946850893529,0.0033171886167051973,0.96125,0.009944039851661327,0.939419479465962,0.005832752831657892,0.29683084805720117,0.08191600610807387,0.1542919799498747,0.031948513419078034,0.20115804733377557,0.04191703373582722,0.18965625675624104,0.03130645255070316,-0.019211692129457947,-0.0013929556074687155
lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact,19.0,0.8856248289797721,0.007535942726548368,0.9130955316315129,0.003116987330357009,0.9660714285714285,0.008892785427134803,0.9388116326558906,0.0042747394603053854,0.2041722400406611,0.06994250007032497,0.08699874686716792,0.03438104439264185,0.1206951430482632,0.044676866103126,0.15135336330006582,0.01847668535595483,-0.09967459641497031,-0.03969584906364393
lr,two-stage,diagnostic,37,v2_lr2,minus_interactions,33.0,0.8747566250605148,0.01107352414058312,0.9208523893758971,0.0039312651796774,0.9432142857142859,0.010914790564240082,0.9318714644328686,0.0062940446087591225,0.26149031717867766,0.06275876757863648,0.19514411027568923,0.038479914697007525,0.2222700177595745,0.044488510121051025,0.19209351860577342,0.031900066160524855,0.0019002782963409848,0.0010443062420636695
rf,single,diagnostic,35,v2_rf_single,baseline,34.0,0.8637202951019807,0.013108704741551647,0.9227721141928562,0.0030164643342229,0.9276785714285714,0.017095358303065883,0.9251239579491777,0.007924454725485577,0.24546561251295254,0.031016780256997847,0.22888471177944866,0.03765064652297611,0.2343445902292655,0.024840515402730603,0.18201648173148247,0.02903134858544224,0.0,0.0
rf,single,diagnostic,35,v2_rf_single,minus_spatial,31.0,0.7438324843713823,0.017382670008531692,0.9326779878525165,0.008105841935992012,0.7739285714285713,0.017572735143060774,0.8458123022693009,0.011655019659120382,0.16563424431357388,0.024705170013339713,0.4450187969924812,0.07019533065946529,0.2411792041710025,0.03578646386220365,0.26958904974264797,0.04885083957901038,0.006834613941737011,0.0875725680111655
rf,single,diagnostic,35,v2_rf_single,minus_category,30.0,0.8572309983371571,0.017914572093799208,0.9196113781719598,0.006210832424452522,0.9237500000000001,0.02465385365414502,0.9214560921027359,0.010957893077662961,0.20679565494544971,0.039252130317710035,0.19705513784461154,0.07684435420722392,0.19657438426679494,0.050917057503599504,0.17115169286672674,0.019046175527316207,-0.03777020596247055,-0.010864788864755726
rf,single,diagnostic,35,v2_rf_single,minus_source_provenance,28.0,0.8599904754888549,0.012603484445928358,0.920330987043956,0.002287761779948477,0.9260714285714287,0.015323884252089229,0.9231242533058989,0.007586386520548052,0.22055729304600763,0.029076816885754597,0.20397869674185465,0.0270076473253673,0.21041246689449192,0.022334304578337044,0.17222674815482178,0.024469299749334414,-0.02393212333477357,-0.009789733576660686
rf,single,diagnostic,35,v2_rf_single,minus_temporal,28.0,0.8629107116546338,0.009675398433901602,0.9188469795266021,0.003909785270668121,0.9314285714285713,0.013836693305578936,0.9250217649722297,0.005885349763306414,0.21067993527653348,0.03373780948680014,0.18276942355889725,0.04811365118268626,0.19379914662728936,0.03809548864065989,0.16860174249925025,0.022987007707632293,-0.04054544360197612,-0.013414739232232215
rf,single,diagnostic,35,v2_rf_single,minus_completeness_contact,20.0,0.8567442484581868,0.015199689879521045,0.9118937400033695,0.004039927377842687,0.9324999999999999,0.02097435265718003,0.9219318788066933,0.00926416003256052,0.13005885977226608,0.04540506718974041,0.10485588972431077,0.054600697623668926,0.11321340668199749,0.04708004613175026,0.14515044834637997,0.02047544380979378,-0.121131183547268,-0.0368660333851025
rf,single,diagnostic,35,v2_rf_single,minus_interactions,33.0,0.8616117472478898,0.013224910053501446,0.920397568149616,0.0039976851044160495,0.9280357142857143,0.019497023582368357,0.9240594295892987,0.008179431926040589,0.22106096922040397,0.027838352489557048,0.20225563909774436,0.05543824100145715,0.2076501537682418,0.03526012787878733,0.17774434861822316,0.024743805199289794,-0.02669443646102368,-0.004272133113259302
