threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std,model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k
0.38,0.8950902285181055,0.007264488910465999,0.9152750394189966,0.0030849465080801317,0.9747619047619048,0.00710904696515884,0.9440695233733353,0.004018637219785749,0.2986393345216875,0.08435456948460833,0.10407268170426066,0.03253446743765146,0.15305563724014248,0.04483861413646674,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.39,0.8934684305429849,0.007256079552171558,0.9156005449843886,0.00334137935258873,0.9723809523809523,0.0070489863538511464,0.943123477410906,0.004014045511476657,0.28940601419755185,0.08033384652008208,0.11000417710944027,0.03529760049524724,0.15810712214335482,0.046963295560661554,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.4,0.8927108547854092,0.006741787771684851,0.9160959750652586,0.003197392298805145,0.9708333333333332,0.006859457281375181,0.9426568276506465,0.0037429322997971923,0.2899518862821236,0.07113963018401451,0.11704260651629074,0.035467902423921144,0.1654146589999088,0.045080850238911035,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.41,0.8913046299999297,0.0069540704657032534,0.916628208846106,0.0028860178200502255,0.968452380952381,0.007510385855041643,0.9418117359060545,0.003898439540670941,0.2896594586696476,0.06260085172160129,0.12531328320802007,0.03211949999888397,0.17344522138387652,0.0392181384132654,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.42,0.8902225543230405,0.007741582996664828,0.917190848815108,0.003098940332372119,0.9664285714285714,0.007911070345636248,0.9411498308935592,0.004323757312880033,0.29046641057855843,0.06814696867694331,0.13354218880534668,0.03461809532499247,0.18153654807918648,0.04278403649419209,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.43,0.8891411802675984,0.006975510627090159,0.9176676513552233,0.0027949861946204462,0.9645238095238095,0.007902107988226693,0.940493819214756,0.003944835820127024,0.2880752222549667,0.05537152450405391,0.14060150375939848,0.033645935906767045,0.18743029411869147,0.03905754602202494,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.44,0.8876270811846176,0.007168666355732377,0.9182016129834814,0.0027925229330538646,0.9620238095238096,0.008234103078947898,0.9395816377678035,0.00407090491919044,0.28605386835408503,0.05390959344065081,0.14889306599832913,0.0333645815764326,0.19426578076098122,0.037686340938864686,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.45,0.886653756832039,0.007079136673942895,0.9185005238712577,0.002692423843719624,0.9604761904761905,0.00852334396174703,0.9389967404417444,0.004047198027448041,0.28436552536647414,0.0511314990628712,0.15363408521303257,0.03272428687940164,0.19776135561065977,0.035580638415092916,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.46,0.8854648592898188,0.008061707184573459,0.9189746094525407,0.0028869722470911212,0.958452380952381,0.009898865002851151,0.9382677897766919,0.004641801960050549,0.28485944442797084,0.047870555790428926,0.16077694235588968,0.034110427611674814,0.20330538238921528,0.033702226857460334,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
0.47,0.8837344853957497,0.008208143137941402,0.9191136576382858,0.00291422954537309,0.9561904761904764,0.010014162307053858,0.9372544092134044,0.00473006089432691,0.2781728379680221,0.047152951414040994,0.16430659983291562,0.034658406127036266,0.20442756844601292,0.03404578631734484,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20
