model_key,mode,trial,feature_bundle,params_json,objective_score,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,11,low_plus_medium,"{""C"": 0.021343703002767653, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.2227615262574749,0.8887110863204868,0.00740677140311238,0.9188617372921517,0.003946342009135643,0.9625,0.005758755534498944,0.940166947868016,0.0040555329755269775,0.2967091731797614,0.06766546239242129,0.156265664160401,0.03714349976951953,0.20415098057127298,0.04644703788618858,0.18610545686201918,0.033563231365196115
lr,single,12,low_plus_medium,"{""C"": 0.019506119694167663, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.22761884179378272,0.8893604369698374,0.007241830618640847,0.9195383196299703,0.006115817854180999,0.9625,0.007576144084141585,0.9404957069306615,0.003961720516935097,0.29324945635290456,0.08628315734440237,0.16359649122807016,0.06575915281717476,0.20826897628876181,0.07713833801772454,0.19349865505020905,0.0286457256569077
lr,single,13,low_plus_medium,"{""C"": 0.01689415896418032, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.20202302675408812,0.8887089814561453,0.013078238471451762,0.9171311912195834,0.0026132671677430606,0.9646428571428572,0.013477115902937986,0.9402517925485784,0.0073684963642094555,0.30163305077916086,0.10522583041431313,0.13464912280701755,0.026089100007260203,0.18292037982085116,0.0393073745717908,0.1910264693323697,0.03537224380463422
lr,single,14,low_plus_medium,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.23125398497729208,0.8913037529731209,0.009906296229551324,0.9193803303006194,0.003838506053794722,0.9650000000000001,0.011327679662252644,0.9415993207015255,0.005612879448009611,0.3232926217983984,0.08032076073811925,0.15983709273182958,0.039874639458454784,0.21105539251905917,0.04792972050285406,0.20198592458232906,0.04908019393480132
lr,single,15,low_plus_medium,"{""C"": 0.026529106280749438, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.26495797650108666,0.8646987939127323,0.011581422434896429,0.9238998614023828,0.002603129484861173,0.9274999999999999,0.015219482680473228,0.9256210175031043,0.007030452842293563,0.25322503826705506,0.029926968054683728,0.24097744360902254,0.038967394044661464,0.24492175715481207,0.02718936235083009,0.20036219346274614,0.03503669809736017
lr,single,16,low_plus_medium,"{""C"": 0.02680885195116542, ""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.2591186576063453,0.8497863562693384,0.018141340182802317,0.9241518854951567,0.0031960965578759957,0.9092857142857141,0.021765212835989433,0.9165235388383104,0.01108290630239844,0.22741991927423472,0.03054268187485087,0.2587719298245614,0.04094888368817049,0.23940988713241346,0.028007011035481335,0.19708770473931822,0.02158748184832701
lr,single,17,low_plus_medium,"{""C"": 0.027081491558764024, ""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.27952228679703905,0.855288997874087,0.02278852181927548,0.9254309679323566,0.006028481682709714,0.9142857142857143,0.020297531769118297,0.9197677197065575,0.013209536529442787,0.2515503402751409,0.08135138004258327,0.26942355889724307,0.04881913450476808,0.25880485884981935,0.06577587709321298,0.20717427947219674,0.055986764375581095
lr,single,18,low_plus_medium,"{""C"": 0.028252014612379854, ""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.25742262731426685,0.8442663495337726,0.02922512247869175,0.9239872095978796,0.002152721981822764,0.9028571428571428,0.03522160167411182,0.9129426959113909,0.018290608651718072,0.22390285774910063,0.039814619912657674,0.2621553884711779,0.04241785223200493,0.2368212395992193,0.025455040267351806,0.20601387715047542,0.027096623012245143
lr,single,19,low_plus_medium,"{""C"": 0.02856313576439009, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.25802564300145064,0.8332168641731041,0.015932371438511613,0.9268162125135901,0.0017162760529039016,0.8864285714285713,0.01891846091164149,0.906066789136857,0.009965269610632788,0.21566121159015741,0.02421110151790316,0.3050125313283208,0.0212429117262661,0.2515317631309273,0.0176911724563673,0.2006015152431498,0.019971888816874967
lr,single,20,low_plus_medium,"{""C"": 0.02414750364425622, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.23421348036491654,0.8604827506367215,0.018102413128959802,0.9212028837756309,0.003867691901161094,0.9257142857142856,0.025066238779095116,0.9232411993045098,0.011073275562308056,0.22858040585325598,0.023499900491430938,0.21284461152882206,0.05846693980667813,0.21431797054326435,0.03238324369654092,0.19895509821652202,0.04278645369461359
